Mod Name;Author;Description;Versions;Is Latest;Latest Commit;Latest Download
B.O.O.P;DrDurka;Behold! The B.O.O.P. (body operational optimization pult). For only for ♂️300 bucks♂️ , allows you to change npcs body. (be honest, it's a rewritten character creator).   It works simply: put it on the target character, take it back and press a button. Since it's considered as BDSM item, there are no restrictions on npcs, but in the case of static and key characters there may be problems, which I can't vouch for (please don't).  And a few technical points: there are no species bindings for body parts here, and neither is resetting them to standard after changing species. And no, personality, fetishes, etc. cannot be overwritten (yet).  Small update due to a bug found. Changed the way to use it, as the old one broke a lot . Now all you have to do is put the pult on yourself, talk to the npc and voila. Now the editor works stably with static npcs, but unfortunately can not change the thickness and femininity (it is statically built into the character, extra thick ginger cat canceled).  Sold by Alex Rynard.;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/B.O.O.P.zip
Gavin the Void Boss;Sumobear50;Character and his moveset required for the "Battle in The Void" datapack.;1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/GavinTheVoidBoss.pck
Tavi Dom Plus Demo;Phoenix;A little Addition for Tavi, starts when you get her Corruption to 200% or 0%~ And then she will give you a nice little rewards for "Fixing" her. What it adds: Adds a few encounters with Tavi, after doing the above mentioned thing currently you can find her in the Canteen as you eat, in the yard while you wander about, and the greenhouse for a little teasing minigame~.  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/TaviDomPlus.png]Click for Preview[/url];3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/TaviDomPlus.zip
Bubble Butt body;Amewsing;Adds a body that has a huge ass. Good only for being a naked human, as tails and clothing breaks with it.  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/BubbleButtBody.png]Click for Preview[/url];1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/BubbleButtBody.zip
Hypnosis Testing - NeuroJammer;JokeMysterious;First mod! Adds an intense version of a hypnovisor that isn't a clear glass screen (just Socket's visor down);4;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/NeuroJammerModule.zip
Manga Head;Master Lorian;Adds a Manga style version of the human head with Colorable Eyes (red: Skin, green: Sclera, blue: Iris).  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/MangaHead.png]Click for preview[/url];1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/MangaHead.zip
Lorian Hair;Master Lorian;Adds 5 Hairstryles v0.25 changelog: Just updated the json for 0.1.8, removed useless files, and adjusted some of the hairstyles to be a bit closer to vanilla.  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/LorianHair.png]Click for preview[/url];6;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/LorianHair.zip
Humanoid Ears;Amewsing;Adds an Elf species and more human ears  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/HumanoidEars.png]Click for preview[/url];1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/HumanoidEars1.zip
Amusing Pokemon Pack Volume 1 (APPV1);Amewsing;Adds in the species Charizard, Mew, Nido Queen/King and Raichu.  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/APPV1.png]Click for Preview[/url];1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/APPV1.zip
Absols;Amewsing;Adds absols as a playable species. Hair and horns can be used separately. Arms and legs can use the included pattern, or the universal skins.  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/Absols.png]Click for Preview[/url];1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Absols.zip
