Mod Name;Author;Description;Versions;Is Latest;Latest Commit;Latest Download
Holiday Sweaters;Fantos (Code), Max-Maxou (Graphics);Killers, whores and thieves.. MERRY CHRISTMAS! this mod adds holiday sweaters.;3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Inmate_Holiday_Sweaters.zip
Contraband Clothes;Fantos (Code), Max-Maxou (Graphics);Add a variety of clothes and accessories. should fit the game style (PS: Updated for the new sex engine);3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Contraband_Clothes.zip
Contraband Clothes 2 (Electric Boogaloo);Fantos (Code), Max-Maxou (Graphics);More simple piece of clothes. (PS: Updated for the sex engine);3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Contraband_Clothes_2.zip
Thigh Highs;Fantos (Code), Max-Maxou (Graphics);Keep those legs warm sluts   (adapt to every leg in the base game);3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/ThighHighs.zip
Dildo!;Sority Arikua;Cheat Item. Adds a 100 cred dildo to the general vendomat for purchase to knock down any pesky dom that need to learn how to sub. ;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Dildo.zip
Horny Bat;Sority Arikua;Adds a new hidden bat to the game for people to find and use. The bat can be used on self or opponent to remove lust and add some pain.;5;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Horny_Bat_v1_.20.zip
Elf Ears;Fantos (Code), Max-Maxou (Graphics);Elf ear for human and demon species.;3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/ElfEar.zip
Harrow;Exceeder;This is, for now, an encounter that can occur if the player is in the stocks, with a slightly modified second encounter. Hoping to make more of these in the future!;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/HarrowMod.zip
Chet Encounter;Poofy;A prototype with a dom cellmate named Chet involving permanent chastity. The cage is removed after the module's story is complete. Changelog: * more Chet events added * Chet's cage is no longer sold by the announcer * Chet's cage should be no longer placeable by other npcs * Chet events should no longer happen as frequently;3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/ChetMod0.1.zip
n76-ultrapack;newtown76;Add and replaces characters images, now every static (not procedural) character in the game has its own avatar. Also some errors have been fixed in this package, thx to Failas. Preview without spoilers, I'll add link to the preview with names and descriptions later. Installation: Download mod -> Launch with mods -> Options -> Check if n76 above Rahi in the Imagepack section (if not move it up by the arrow) -> Play [url=https://media.discordapp.net/attachments/1021686418512289792/1109492849667485806/preview.png]Click for Preview[/url];3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/n76-ultrapack.zip
Eevee Species;Eurygrey;Now play a fluff and cute creature! Include a face with and without eye and a second body with fluff (use it at your own risk). Disclaimer : This is a test version a better version will be released later. Thank Fantos for the big help! [url=https://media.discordapp.net/attachments/1021686418512289792/1115776532846223520/Capture_decran_2023-06-07_005304.png]Click for Preview[/url];3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/EeveeSpecieVer0.1.zip
Umbreon Species;Eurygrey;Play as you favorite cute and dark anthro creature! Dark as a shadow but still very cute! Includes two face types, with and without eyes. Mod update : Corrected a bug where the head without the eyes didn't show up in the creation menu. [url=https://media.discordapp.net/attachments/1021686418512289792/1116135816608088104/umbreonmale.png]Click for Preview[/url];3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/UmbreonSpeciesVer0.3.zip
Jolteon Species;Eurygrey;Now play as your favorite yellow fluffball! Include two faces types with and without eyes, and two body with and without fur. [url=https://media.discordapp.net/attachments/1021686418512289792/1116522067769167933/jolteonmale.png]Click for Preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/JolteonSpeciesVer0.1.zip
Puro Species;Eurygrey;Play now as the sticky boy (or girl if you want) in the prison! Include two faces types with eyes and without eyes. DISCLAIMER : All right of the design go to Dragonsnow, I didn't created this character or his design. [url=https://media.discordapp.net/attachments/1021686418512289792/1119429310189682738/PuroMale.png]Click for Preview[/url];3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/PuroSpeciesVer0.2.zip
Renamon Species;Eurygrey;Play now as your favorite yellow creature! Includes two faces, with and without eyes, a normal body and a fur body with marking. [url=https://media.discordapp.net/attachments/1021686418512289792/1119766031779496056/Renamonmale.png]Click for Preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/RenamonSpeciesVer0.1.zip
Ori Species;Eurygrey;Play now as your white and bright creature! Include two faces, with and without eyes. [url=https://media.discordapp.net/attachments/1021686418512289792/1120137536577208421/OriMale.png]Click for Preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/OriSpeciesVer0.1.zip
Protogen Species;Eurygrey;Play now as your favorite electronical fluff! Include two faces (normal and small). The protogen body need to be selected in the bodies type category when your making the character. Also include a default shark tail. You can change the tail with the tails from the base game and others mods [url=https://media.discordapp.net/attachments/1021686418512289792/1129920333198139533/ProtgenMale.PNG]Click for Preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/ProtogenSpeciesVer0.1.zip
Shark Species;Eurygrey;Play now as your water species! Include 4 faces (Big and small head, with and without eyes) Also include a special shark pen and a shark body. [url=https://media.discordapp.net/attachments/1021686418512289792/1131017541079281794/SharkFemale.PNG]Click for Preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/SharkSpeciesVer0.1.zip
Flareon Species;Eurygrey;Play now as your fire fluffball! Include 2 faces (With and without eyes). [url=https://media.discordapp.net/attachments/1021686418512289792/1131375011664494683/FlareonFemale.PNG]Click for Preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/FlareonSpeciesVer0.1.zip
Glaceon Species;Eurygrey;Play now as your ice fluff! Include 2 faces (With and without eyes). [url=https://media.discordapp.net/attachments/1021686418512289792/1131744788102795344/GlaceonFemale.PNG]Click for Preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/GlaceonSpeciesVer0.1.zip
Vaporeon Species;Eurygrey;Guys did you know in term of... Include 2 faces (With and without eyes). [url=https://media.discordapp.net/attachments/1021686418512289792/1132124006812766298/VaporeonMale.PNG]Click for Preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/VaporeonSpeciesVer0.1.zip
Gardevoir Species;Eurygrey;Now play as you tall looking creature Include 2 faces (With and without eyes). [url=https://media.discordapp.net/attachments/1021686418512289792/1133557184232423464/GardevoirFemale.PNG]Click for Preview[/url];420;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/GardevoirSpeciesVer0.1.zip
Newtown76 collar;panzertigre;Replaces the collar with the one based on newtown76's style [url=https://media.discordapp.net/attachments/1021686418512289792/1141409251684782140/collar_preview.png]Click for Preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/collar_newtown76.zip
Fluffy parts;panzertigre;Add a fluffy skin body part in the game. Supported species: fox, wolf, dog work still in progress [url=https://media.discordapp.net/attachments/1021686418512289792/1142196087113912512/image.png]Click for Preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/furskinV1.zip
Hologlass;panzertigre;Adds a pair of glasses buyable in vendomat [url=https://media.discordapp.net/attachments/1021686418512289792/1142895667329634324/image.png]Click for Preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/HologlassV1.zip
Inmate Hoodie;Fantos (Code), Max-Maxou (Graphics);Hoodie with color matching the uniform. This is a fix cause turned out the mod never worked properly. [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/hoodie.png]Click for Preview[/url];7;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Inmate_Hoodie.zip
Nova Sub Training;JakeJames;Warning: Heavy focus on impregnation fetish. Mod to train Nova to be more submissive during modified scenes.  Adds a new flag called 'NovaSub' which affects modified scenes. Modified scenes can increase or decrease this flag. There are four stages of submissiveness currently with breakpoints at 0, 37, 67, and 91.  Modified Scenes: - FuckSubbyNovaScene.gd -- Uses all four stages of submissiveness --- Slight variations while Nova is already pregnant - NovaPetPlayScene.gd -- Replaces the original prompt when at >=67 submissiveness --- Slight variations at >= 91 --- Includes a special guest appearance..;3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/NovaSubTraining.zip
RNGPerks;CanInBad;This mod adds 2 perks 1) Dramaturgy (tier 2, cost 4 points, in Combat)  - Randomly roll effect for either good buff, near down experience, and a item from custom list in a battle, is inside specials 2) Gambler Cum Stud (tier 3, cost 3 points, in Breeder)  - Get your balls fill up to the brim after you cum with 30% chance  and a Dramaturgy's exclusive item: **- Flashlight**    - A weapon use in combat to instantly blind any foe (totally did not check if the opponent have a blindfold or not), is inside specials    - only have 2 charges  changelog:    * fixed crashing for new version (0.1.1)    * fixed chance being 100% (how did i missed this??????)    * hopfully has mod info in the json named the same as zip;4;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/RNGPerksv0.5.zip
Straitjacket woc;Red Tiger;Just the straitjacket but without the chasity (woc) bc someone asked me to do x3  You only can get it through the debug menu, A buyable version coming later [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/straitjacket.png]Click for preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Straitjacketmod.zip
Chasitiybelt;Red Tiger;Just the Chasitiybelt from the normal Straitjacket, Again bc someone requestet it  You only can get it through the debug menu, A buyable version coming later;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Chasitybeltmod.zip
Portal Expansion Mod;ranchar;Adds additional portal equipment and new content based around portals. Currently on an early test version, so please give feedback. More is planned to be added.  Changelog: 0.0.1: Fixed crash when attempting to 'lose' the improved portal panties, fixed portal rings so they should now stack when taken off. Fixed crash when retrieving portals. Added a couple more scenes.  0.0.2: Fixed softlock when attempting certain actions.  0.0.3: Fixed crashes when attempting rollback. Fixed portal ring variations being obtainable when not intended. Added some messages when attaching portal rings. Added differing effects when multiple linked rings are attached. Fixed incorrectly triggering sleeping and shower scenes when no portal items were equipped.  0.0.4: Added conditions to various buttons so that you should no longer be able to view scenes for bodyparts that you don't have.  0.0.5: Fixed portal panties so they should now show random scenes correctly.  0.0.6: Fixed some scenes not working correctly.  0.1.0: Fixed crash when attempting to access vendomat (again), added more scenes.  0.1.1: Fixed crash when attempting to attach portal rings.  0.1.2: Fixed crash when attempting to attach portal rings (again).;5;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/PortalExpansionMod.zip
Human legs only;NatRobloxian;this mod replaces all the main NPCs penis (if they have one) with a human one, also replaces legs to be plantigrade. this works with generated NPCs too (ONLY VAILLIA SPEICES WILL ONLY HAVE THESE CHANGES, I MIGHT ADD IN SUPPORT FOR MODDED SPEICES LATER) (also changed avy to like big cocks now cause why not lol, if u don't want it u can edit AvyCharacter.gd in the files of the mod and replace the npcLustInterests and interestVerbalReaction with the one from the vanilla file) [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/humanlegspreview.PNG]Click for preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Humanlegsonly.zip
More Drugs Mod;ButNotTooGay/Makarov;Adds new items that grant buffs but can also cause potentially undesirable side effects if abused. - Added Toughness Booster  ↳ Improves block defense but lowers dodge chance  ↳ Can cause side effect, Paralysis: Your body occasionally seizes up, leaving you vulnerable to being taken advantage of  Note: This update is incomplete. The item is mechanically functional, but there is a scene that contains only placeholder text.;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/MoreDrugsMod-v0.04a.zip
Stock Events;Fantos (Code), Zaxon Rapial (Scenes);(Requires Rat Species mod!) This is a mod where you can find different characters randomly in the main hall public punishment area. So far there is only one character but planning to expand it, and if you are interested to help expanding the mod, please DM me. It comes in two version, one come with Rat Species module included since the mod depend on it, but if you have it just use the other version.;4;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Stock_events.zip
Stock Events + Rat Species;Fantos (Code), Zaxon Rapial (Scenes);This is a mod where you can find different characters randomly in the main hall public punishment area. So far there is only one character but planning to expand it, and if you are interested to help expanding the mod, please DM me. It comes in two version, one come with Rat Species module included since the mod depend on it, but if you have it just use the other version.;4;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Stock_events__Rat_species.zip
Human cocks and legs only;NatRobloxian;this mod replaces all the main NPCs penis (if they have one) with a human one, also replaces legs to be plantigrade. this works with generated NPCs too [b]UPDATE: Ace's protogen mod is now supported[/b] [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/humanlegspreview.PNG]Click for preview[/url];5;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Humancocksandlegsonlyv2.zip
Toilet slave mod;Reggie;[b]!!!!THIS MOD CONTAINS WATERSPORTS CONTENT!!!![/b]  Little mod what add a event to toilets like slutwall or stocks.;4;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/ToiletSlaveMod.zip
Clothes Megapack;Fantos;Add a lot of clothes in the game, the list is: - Crop top - Fingerless Gloves - Hoodie (White streak and 3 inmate color variant) - Kitty Panties - Leather Jacket - Short uniform (3 inmate color variant) - Thigh High (3 inmate color variant) And every one of these have a white variant too!  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/ClothesMegapackPreview.png]Click for Preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Clothes_Megapack.zip
Hypertus Species Compat Layers but only human cocks and legs;NatRobloxian;a modified verison of CanInBad's Hypertus Species Compat Layers that only allows to generated characters to have human cocks and legs;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/hyperspeciesHCLO.zip
More Drugs V2;ButNotTooGay/Makarov;A rebuild of ButNotTooGay's New drugs. You have 6 pills in total: -Dominance/Submission pills -Obedience/Bratty Pills -Perceptive/Naive Pills;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Newdrugsv2.zip
PlusCombat;Czarro;4 new weapons, listed below: -Glass Shard, a single-use item that causes the enemy to bleed for 10 turns. -Lock Sock, a high damage weapon that costs stamina to use but has a chance to knock the enemy down. Not actually made with a lock. -Metal Bat, an aluminum baseball bat that costs a small amount of stamina to use and has a chance to stun the enemy. -Scrap Derringer, a makeshift, single-use gun that deals an enormous amount of pain but only has a 1 in 4 chance to fire properly. Known Issues: -The Metal Bat and Lock Sock are supposed to have attack animations, but I'm too stupid to make the animations work. -All 4 weapons can only be obtained through the debug menu since I have no idea how to add them to enemy loot. -There is a non-zero chance that I fucked up when making the .zip archive.;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/PlusCombat_1.0.zip
Domcity;Makarov;Domcity Makes all the npc's fetishes dominant, they love giving hate taking.;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Domcity.zip
Pillowprincess;Makarov;Domcity Makes all the npc's fetishes dominant, they love giving hate taking. Pillowprincess is the exact opposite, they love receiving and hate giving.;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Pillowprincess.zip
Lopunny Species;trashbox_52161;Add a special bunny species that come with an eyes or without eyes option [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/LopunnyPreview.png]Click for preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/LopunnySpeciesVer1.zip
DomSub;Darth;Allows you to switch between Pillowprincess, and Domcity (feat: Makarov). You choose from a 'Loose Panel' in you cell.;1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/DomSub.zip
Breasts and Penis size - Small;Makarov;[b]PLEASE only install one of these 3 or Hypertus! They will collide![/b]  Changes the size of Random npcs breasts, from small average to large average. I've basically taken Caninbad's hypertus mod and deconstructed it so some features from his mod. Let me know if you see anything off. Will not change currently active npcs breasts.;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/smallbreastsandpenis.zip
Breasts and Penis size - Normal;Makarov;[b]PLEASE only install one of these 3 or Hypertus! They will collide![/b]  Changes the size of Random npcs breasts, from small average to large average. I've basically taken Caninbad's hypertus mod and deconstructed it so some features from his mod. Let me know if you see anything off. Will not change currently active npcs breasts.;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Normalbreastsandpenis.zip
Breasts and Penis size - Large;Makarov;[b]PLEASE only install one of these 3 or Hypertus! They will collide![/b]  Changes the size of Random npcs breasts, from small average to large average. I've basically taken Caninbad's hypertus mod and deconstructed it so some features from his mod. Let me know if you see anything off. Will not change currently active npcs breasts.;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Largebreastsandpenis.zip
Rat Species;Fantos;It add the bigger and more dangerous of the cheese lover species, the rat. Now with skin support! [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/RatPreview.png]Click for Preview[/url];4;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Rat_Species_2.1.zip
Breast Pump on Torso;Vyklade;Switches the breast pump and advanced breast pump items from being worn on the upper body slot to the torso slot, thus not interfering with the perks related to being nude. This disallows wearing a pump and a harness at the same time, however.;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Vyk_Torso_Pump.zip
Cursed Equipment;Darth;Adds cursed Equipment to the game. where do you find it? Who knows. This mod was made in a way to make it easier to make more cursed equipment, but if you just want a start on the idea, this is it. Fixxes: A problem with the dickeater and the milkinator not doing their autopump possibly some crashes Milkinator being clased as clothing;1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/CursedEquipment.zip
Portal Panties Plus;Darth;Lets you use the portal panties to walk around with your dick in someone, or someone's dick in you. May have compatiblity porblems with later versions, or other portal panties mods Added: The ability to drug through portals Fixxed: A few bad checks with the older code;1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/PortalPantiesPlus.zip
NPC Claimer;Darth;Allows you to brand NPCs, claiming them for yourself.  Should be usable on newer versions New content: Buffs can now be applied to the branding iron making the resulting brand do some fun things Fixxes: Problem when removing characters resolved;5;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/NPCclaimer.zip
Dynamic Stocks;Darth;Allows you to find Dynamic NPCs stuck in the stocks  Additions NPCs once they win can now lock you in the stocks (only under the chance you just let them free and pissed them off) A change in the chance of enchontering NPCs stuck in the stocks;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/DynamicStocks.zip
Drug Injector;Darth;Makes and handles an item that lets you drug oponents in combat.  Should be usable on newer versions Added A new mode to the injector, DNA mode, takes the species of a 'sample' and makes hybrids Fixxes: Errors being loaded at startup;3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/DrugInjector.zip
Laquine Species (Breed Edition);Raznaak;Rabbit-Horse hybrids. Updated: has more mods compatblity (npc spawns with moddded bodyparts) [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/LaquineSpeciesPreview2.png]Click for Preview[/url]  [b]Breed edition[/b]: Make all Laquine NPC spawn with anus womb. [b]DO NOT USE BOTH VERSION AT ONCE![/b] Please use one or the other!;3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Laquine_SpeciesVer1.5-B.zip
Laquine Species;Raznaak;Rabbit-Horse hybrids. Updated: has more mods compatblity (npc spawns with moddded bodyparts) [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/LaquineSpeciesPreview2.png]Click for Preview[/url]  [b]DO NOT USE BOTH VERSION AT ONCE![/b] Please use one or the other!;3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Laquine_SpeciesVer1.5.zip
Fenrir's Custom Console Commands (FensCCC);Fenrir;This mod adds custom console commands.  Current commands: - no_kids | Clears the nursery database - species_encounter_chance <default, none, number> | Sets the encounter chance for all species (0.0 -> 10.0) - gender_encounter_chance <male, female, shemale, herm, peachboy, all | default, none, number> | Sets the encounter rate for either a single gender, or all genders (0.0 -> 1.0) set_name <characterID | name> | Change the name if any given character within the game  Notes: Added the ability to change the name of any character (You need to know their ID first. Player's ID is 'pc');3;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/0_FensCCC.zip
Loona mod;surrealdeal;Loona mod needed for a Loona data pack;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/LoonaMod.zip
Hypertus - shouldPrint CONF;CanInBad;Download this to make hypertus split out logs either in console or cout if you run the game in terminal emulator.;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/HypertusShouldPrint.zip
Hypertus - speciesForceBreed CONF;CanInBad;Download this to make all species added by Hypertus to have anus womb by default, does not replace existing NPC.;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/HypertusSpeciesForceBreed.zip
Hypertus - Hyperable Lycanroc  Species;CanInBad;This mod requires Hypertus (if the name doesn't give it away) Replace Lycanroc species (3 variants) with hyperable version, and adds 2 bodyparts from the mod;2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/LycanrocHypertusCompatR1.zip
